Valor nulo: -9999.9		
Fecha (GMT)	Temperatura del Agua(ºC)	Canal de obtencion de los datos
2010 01 25 09	13.3	2
2010 01 25 10	13.3	2
2010 01 25 11	13.4	2
2010 01 25 12	13.5	2
2010 01 25 13	13.4	2
2010 01 25 14	13.4	2
2010 01 25 15	13.4	2
2010 01 25 16	13.4	2
2010 01 25 17	13.4	2
2010 01 25 18	13.4	2
2010 01 25 19	13.4	2
2010 01 25 20	13.4	2
2010 01 25 21	13.8	2
2010 01 25 22	13.7	2
2010 01 25 23	13.7	2
2010 01 26 00	13.7	2
2010 01 26 01	13.8	2
2010 01 26 02	13.7	2
2010 01 26 03	13.7	2
2010 01 26 04	13.7	2
2010 01 26 05	13.7	2
2010 01 26 06	13.7	2
2010 01 26 07	13.7	2
2010 01 26 08	13.6	2
2010 01 26 09	13.6	2
2010 01 26 10	13.6	2
2010 01 26 11	13.7	2
2010 01 26 12	13.7	2
2010 01 26 13	13.7	2
2010 01 26 14	13.7	2
2010 01 26 15	13.8	2
2010 01 26 16	13.8	2
2010 01 26 17	13.8	2
2010 01 26 18	13.8	2
2010 01 26 19	13.8	2
2010 01 26 20	13.8	2
2010 01 26 21	13.7	2
2010 01 26 22	13.7	2
2010 01 26 23	13.7	2
2010 01 27 00	13.7	2
2010 01 27 01	13.6	2
2010 01 27 02	13.7	2
2010 01 27 03	13.7	2
2010 01 27 04	13.7	2
2010 01 27 05	13.7	2
2010 01 27 06	13.7	2
2010 01 27 07	13.6	2
2010 01 27 08	13.7	2
2010 01 27 09	13.7	2
2010 01 27 10	13.7	2
2010 01 27 11	13.7	2
2010 01 27 12	13.7	2
2010 01 27 13	13.7	2
2010 01 27 14	13.6	2
2010 01 27 15	13.6	2
2010 01 27 16	13.6	2
2010 01 27 17	13.6	2
2010 01 27 18	13.6	2
2010 01 27 19	13.6	2
2010 01 27 20	13.6	2
2010 01 27 21	13.5	2
2010 01 27 22	13.5	2
2010 01 27 23	13.5	2
2010 01 28 00	13.5	2
2010 01 28 01	13.5	2
2010 01 28 02	13.5	2
2010 01 28 03	13.4	2
2010 01 28 04	13.4	2
2010 01 28 05	13.4	2
2010 01 28 06	13.4	2
2010 01 28 07	13.4	2
2010 01 28 08	13.4	2
2010 01 28 09	13.4	2
2010 01 28 10	13.4	2
2010 01 28 11	13.3	2
2010 01 28 12	13.3	2
2010 01 28 13	13.3	2
2010 01 28 14	13.3	2
2010 01 28 15	13.4	2
2010 01 28 16	13.4	2
2010 01 28 17	13.4	2
2010 01 28 18	13.5	2
2010 01 28 19	13.6	2
2010 01 28 20	13.5	2
2010 01 28 21	13.6	2
2010 01 28 22	13.6	2
2010 01 28 23	13.6	2
2010 01 29 00	13.5	2
2010 01 29 01	13.4	2
2010 01 29 02	13.4	2
2010 01 29 03	13.4	2
2010 01 29 04	13.4	2
2010 01 29 05	13.4	2
2010 01 29 06	13.4	2
2010 01 29 07	13.4	2
2010 01 29 08	13.4	2
2010 01 29 09	13.4	2
2010 01 29 10	13.4	2
2010 01 29 11	13.3	2
2010 01 29 12	13.3	2
2010 01 29 13	13.4	2
2010 01 29 14	13.4	2
2010 01 29 15	13.6	2
2010 01 29 16	13.4	2
2010 01 29 17	13.5	2
2010 01 29 18	13.6	2
2010 01 29 19	13.6	2
2010 01 29 20	13.6	2
2010 01 29 21	13.6	2
2010 01 29 22	13.6	2
